Frame Number;Timestamp;Rigid Body Name;Relative X;Relative Y;Relative Z;Gesture
524411;4370.092;Head;-0.025;0.0084;-0.0021;clap
524412;4370.1;HandLeft;-0.4113;-0.8534;-0.0344;clap
524412;4370.1;HandRight;0.2119;-0.9104;0.021;clap
524412;4370.1;Head;-0.0264;0.0083;-0.0023;clap
524413;4370.108;HandLeft;-0.4116;-0.8535;-0.0351;clap
524413;4370.108;HandRight;0.211;-0.9098;0.0204;clap
524413;4370.108;Head;-0.0273;0.0084;-0.0025;clap
524414;4370.117;HandLeft;-0.4119;-0.8538;-0.0359;clap
524414;4370.117;HandRight;0.2102;-0.9092;0.02;clap
524414;4370.117;Head;-0.0288;0.0086;-0.0032;clap
524415;4370.125;HandLeft;-0.4122;-0.854;-0.0366;clap
524415;4370.125;HandRight;0.2091;-0.909;0.0194;clap
524415;4370.125;Head;-0.0299;0.0087;-0.0033;clap
524416;4370.133;HandLeft;-0.4124;-0.8544;-0.0374;clap
524416;4370.133;HandRight;0.2083;-0.9086;0.0187;clap
524416;4370.133;Head;-0.0313;0.0087;-0.0038;clap
524417;4370.142;HandLeft;-0.4128;-0.8548;-0.0382;clap
524417;4370.142;HandRight;0.2074;-0.908;0.018;clap
524417;4370.142;Head;-0.0327;0.0087;-0.0041;clap
524418;4370.15;HandLeft;-0.4132;-0.8552;-0.0388;clap
524418;4370.15;HandRight;0.2062;-0.9079;0.0176;clap
524418;4370.15;Head;-0.0341;0.0089;-0.005;clap
524419;4370.158;HandLeft;-0.4135;-0.8554;-0.0393;clap
524419;4370.158;HandRight;0.2054;-0.9073;0.0169;clap
524419;4370.158;Head;-0.035;0.0087;-0.0052;clap
524420;4370.167;HandLeft;-0.4138;-0.8558;-0.04;clap
524420;4370.167;HandRight;0.2045;-0.907;0.0163;clap
524420;4370.167;Head;-0.0366;0.0088;-0.0058;clap
524421;4370.175;HandLeft;-0.4141;-0.8562;-0.0406;clap
524421;4370.175;HandRight;0.2035;-0.9066;0.0157;clap
524421;4370.175;Head;-0.0377;0.0087;-0.0059;clap
524422;4370.183;HandLeft;-0.4145;-0.8565;-0.0413;clap
524422;4370.183;HandRight;0.2028;-0.9063;0.0152;clap
524422;4370.183;Head;-0.0394;0.0087;-0.006;clap
524423;4370.192;HandLeft;-0.4148;-0.857;-0.042;clap
524423;4370.192;HandRight;0.202;-0.9059;0.0144;clap
524423;4370.192;Head;-0.0407;0.0087;-0.0062;clap
524424;4370.2;HandLeft;-0.415;-0.8575;-0.0428;clap
524424;4370.2;HandRight;0.201;-0.9058;0.0139;clap
524424;4370.2;Head;-0.0423;0.0088;-0.0069;clap
524425;4370.208;HandLeft;-0.4152;-0.8581;-0.0437;clap
524425;4370.208;HandRight;0.2001;-0.9053;0.0133;clap
524425;4370.208;Head;-0.0437;0.0088;-0.0074;clap
524426;4370.217;HandLeft;-0.4153;-0.8583;-0.0444;clap
524426;4370.217;HandRight;0.1993;-0.9049;0.0125;clap
524426;4370.217;Head;-0.0455;0.0087;-0.008;clap
524427;4370.225;HandLeft;-0.4154;-0.8586;-0.045;clap
524427;4370.225;HandRight;0.1981;-0.9047;0.0119;clap
524427;4370.225;Head;-0.0468;0.0086;-0.0076;clap
524428;4370.233;HandLeft;-0.4155;-0.8592;-0.0458;clap
524428;4370.233;HandRight;0.1972;-0.9043;0.0114;clap
524428;4370.233;Head;-0.0483;0.0086;-0.0079;clap
524429;4370.242;HandLeft;-0.4156;-0.8597;-0.0465;clap
524429;4370.242;HandRight;0.1962;-0.9039;0.0109;clap
524429;4370.242;Head;-0.0502;0.0087;-0.0085;clap
524430;4370.25;HandLeft;-0.4157;-0.86;-0.0472;clap
524430;4370.25;HandRight;0.1952;-0.9036;0.0104;clap
524430;4370.25;Head;-0.0517;0.0087;-0.0088;clap
524431;4370.258;HandLeft;-0.4157;-0.8604;-0.0478;clap
524431;4370.258;HandRight;0.1942;-0.9033;0.0099;clap
524431;4370.258;Head;-0.0531;0.0088;-0.009;clap
524432;4370.267;HandLeft;-0.4157;-0.8609;-0.0486;clap
524432;4370.267;HandRight;0.1932;-0.903;0.0094;clap
524432;4370.267;Head;-0.0549;0.009;-0.0097;clap
524433;4370.275;HandLeft;-0.4155;-0.8614;-0.0495;clap
524433;4370.275;HandRight;0.1924;-0.9029;0.0091;clap
524433;4370.275;Head;-0.0566;0.009;-0.0098;clap
524434;4370.283;HandLeft;-0.4155;-0.8618;-0.0501;clap
524434;4370.283;HandRight;0.191;-0.903;0.0088;clap
524434;4370.283;Head;-0.058;0.009;-0.0096;clap
524435;4370.292;HandLeft;-0.4156;-0.8619;-0.0506;clap
524435;4370.292;HandRight;0.1896;-0.9028;0.0084;clap
524435;4370.292;Head;-0.0596;0.0091;-0.0099;clap
524436;4370.3;HandLeft;-0.4156;-0.8623;-0.0512;clap
524436;4370.3;HandRight;0.1884;-0.9025;0.0081;clap
524436;4370.3;Head;-0.0617;0.0092;-0.0101;clap
524437;4370.308;HandLeft;-0.4156;-0.8629;-0.0519;clap
524437;4370.308;HandRight;0.1872;-0.902;0.0077;clap
524437;4370.308;Head;-0.0635;0.0093;-0.0103;clap
524438;4370.317;HandLeft;-0.4155;-0.8633;-0.0527;clap
524438;4370.317;HandRight;0.186;-0.9016;0.0074;clap
524438;4370.317;Head;-0.0651;0.0094;-0.01;clap
524439;4370.325;HandLeft;-0.4153;-0.8636;-0.0535;clap
524439;4370.325;HandRight;0.1846;-0.9015;0.0071;clap
524439;4370.325;Head;-0.0669;0.0093;-0.0101;clap
524440;4370.333;HandLeft;-0.415;-0.8638;-0.0542;clap
524440;4370.333;HandRight;0.183;-0.9016;0.0066;clap
524440;4370.333;Head;-0.0686;0.0095;-0.0103;clap
524441;4370.342;HandLeft;-0.4149;-0.8642;-0.0549;clap
524441;4370.342;HandRight;0.1815;-0.9013;0.0061;clap
524441;4370.342;Head;-0.0705;0.0097;-0.0107;clap
524442;4370.35;HandLeft;-0.4148;-0.8651;-0.0559;clap
524442;4370.35;HandRight;0.18;-0.901;0.0058;clap
524442;4370.35;Head;-0.0721;0.0098;-0.0103;clap
524443;4370.358;HandLeft;-0.4149;-0.8653;-0.0565;clap
524443;4370.358;HandRight;0.1785;-0.9008;0.0055;clap
524443;4370.358;Head;-0.0742;0.0099;-0.0099;clap
524444;4370.367;HandLeft;-0.4149;-0.8654;-0.0572;clap
524444;4370.367;HandRight;0.1767;-0.9008;0.005;clap
524444;4370.367;Head;-0.076;0.0101;-0.0098;clap
524445;4370.375;HandLeft;-0.4147;-0.8653;-0.0583;clap
524445;4370.375;HandRight;0.1748;-0.9007;0.0044;clap
524445;4370.375;Head;-0.0781;0.01;-0.0095;clap
524446;4370.383;HandLeft;-0.4146;-0.8657;-0.0592;clap
524446;4370.383;HandRight;0.1728;-0.9008;0.0041;clap
524446;4370.383;Head;-0.0798;0.0102;-0.0092;clap
524447;4370.392;HandLeft;-0.4145;-0.8663;-0.06;clap
524447;4370.392;HandRight;0.1706;-0.9011;0.0036;clap
524447;4370.392;Head;-0.0818;0.0102;-0.0089;clap
524448;4370.4;HandLeft;-0.4141;-0.8668;-0.0607;clap
524448;4370.4;HandRight;0.1687;-0.9009;0.0031;clap
524448;4370.4;Head;-0.0834;0.0103;-0.0085;clap
524449;4370.408;HandLeft;-0.4136;-0.8671;-0.0615;clap
524449;4370.408;HandRight;0.1669;-0.9008;0.0027;clap
524449;4370.408;Head;-0.0856;0.0104;-0.0083;clap
524450;4370.417;HandLeft;-0.4126;-0.8681;-0.0619;clap
524450;4370.417;HandRight;0.1648;-0.9009;0.0023;clap
524450;4370.417;Head;-0.0876;0.0108;-0.0085;clap
524451;4370.425;HandLeft;-0.4123;-0.8691;-0.0623;clap
524451;4370.425;HandRight;0.1629;-0.901;0.002;clap
524451;4370.425;Head;-0.0897;0.011;-0.0083;clap
524452;4370.433;HandLeft;-0.412;-0.8695;-0.0628;clap
524452;4370.433;HandRight;0.1606;-0.9012;0.0017;clap
524452;4370.433;Head;-0.0914;0.0109;-0.0075;clap
524453;4370.442;HandLeft;-0.4116;-0.8698;-0.0634;clap
524453;4370.442;HandRight;0.1584;-0.9014;0.0013;clap
524453;4370.442;Head;-0.0932;0.011;-0.0072;clap
524454;4370.45;HandLeft;-0.4112;-0.8701;-0.0641;clap
524454;4370.45;HandRight;0.1562;-0.9013;0.0007;clap
524454;4370.45;Head;-0.0953;0.0113;-0.0067;clap
